claim,required_reannotation,label,justification,claim_date,speaker,original_claim_url,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies,questions,cached_original_claim_url
"""The wealthiest three families now own more wealth than the bottom half of the country.""",FALSE,Supported,The answers and source show that they do own more money combined so the claim is supported.,26/6/19,Bernie Sanders,https://web.archive.org/web/20210531021913/https://www.wsj.com/articles/trump-is-the-worst-kind-of-socialist-11561589372,https://web.archive.org/web/20210531021913/https://www.politifact.com/factchecks/2019/jul/03/bernie-sanders/bernie-sanders-target-saying-3-richest-have-much-w/,Wall street Journal,US,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'Who are the richest 3 people in the USA and what is their net wealth?', 'answers': [{'answer': 'The three wealthiest individuals were Bill Gates of Microsoft with $89 billion, Jeff Bezos of Amazon with $81.5 billion and Warren Buffett of Berkshire Hathaway with $78 billion.\n\ntotal wealth of $248.5 billion', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210529104049/https://www.forbes.com/forbes-400/', 'source_medium': 'Web text'}]}, {'question': 'What is the Total Net Worth of the bottom 50% of USA population?', 'answers': [{'answer': 'The wealth of the bottom 160 million Americans,is $245 billion.', 'answer_type': 'Abstractive', 'source_url': 'Metadata', 'source_medium': 'Metadata'}]}]",
Russia is not using illegitimate sanctions against Georgia.,TRUE,Refuted,the russian santions against georgia are not legal and authroised. ,24/6/19,Dmitry Peskov Russian presidential spokesman,https://web.archive.org/web/20210122152155/https://tass.com/politics/1065245,https://web.archive.org/web/20210122152155/https://www.polygraph.info/a/russia-georgia-sanctions-wine-flights-/30019373.html,Tass,RU,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Is Russia using illegitimate sanctions against Georgia?', 'answers': [{'answer': 'We have seen the Russian consumer-protection agency politicize trade and ban certain products when political relations with Russia deteriorate, not only in Georgia, but also in the Baltics, Moldova, Ukraine, and Central Asia,” Sergi Kapanadze, the Dean of the Caucasus School of Governance at the Caucasus University in Tbilisi wrote in a 2014 policy memo for the European Council on Foreign relations.', 'answer_type': 'Extractive', 'source_url': 'Metadata', 'source_medium': 'Metadata'}]}, {'question': 'What are the sanctions imposed by Russia against Georgia?', 'answers': [{'answer': ""After the Rose Revolution brought Saakashvili to power in 2004, Moscow soon began applying energy sanctions to the recalcitrant Georgian leader. As with other defiant ex-Soviet states, Georgia was subjected to massive gas price increases. From 2004 to 2006 the price demanded by Gazprom, the Russian state gas monopoly, increased by nearly 500 percent, from $50 to $235 per thousand cubic meters.19 Moscow tried to portray this as a ‘normal’ price increase, designed to bring Georgia in line with prices charged to Moscow's West European purchasers, which the Kremlin described as the “world market price.” Yet the political rationale was clear. First, price increases were targeted carefully to states which angered Moscow. Georgia, in fact, was treated the worst of any state—it was the first to be forced to pay full ‘Western’ prices, even ahead of Ukraine. Russia's most dramatic action, though, took place on January 22, 2006. Just days earlier it had stopped gas supplies to the Ukraine, allegedly over a pricing dispute. But it seemed that simply turning off the gas valves, even in midwinter, was not enough of a punishment for Georgia. Russia announced that both main gas lines to Georgia had been cut by bomb blasts, allegedly the work of Chechen separatists.23 Doubts were quickly raised. Why would Chechens target Georgia, a state which was at worst neutral in their dispute with Russia—and perhaps covertly a supporter, as Moscow alleged? Although it was never proven, many believed that Moscow had cut the lines deliberately, to weaken Saakashvili's government. Georgia suffered through a few days of closed schools and factories and freezing homes until gas service was restored.24"", 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210308122353/http://journals.sagepub.com/doi/10.1016/j.euras.2015.03.008', 'source_medium': 'Web text'}, {'answer': ""As tensions rose with the new Saakashvili government, that is exactly what Moscow did. Georgian shipments were delayed by long ‘customs inspections’—a fatal measure for goods such as fresh fruit. The quality and safety of Georgian wine and mineral water was questioned. Russia's Chief Sanitary Inspector, Gennady Onishchenko, claimed that Georgian wine contained heavy metals and pesticides.33 In March, 2006, sales of Georgian wine were forbidden on ‘health’ grounds—a measure which remained in effect for over seven years—until, as we shall see, the election of a new President suddenly made Georgian wine ‘healthy’ again. Similarly, two major brands of Georgian mineral water were barred from the Russian marked in May, 2006 for “failing to meet water purity standards.”34 Banning imports on ‘health’ grounds has become a favorite tactic of the Kremlin, since these actions seem superficially plausible compared to open embargos.35"", 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210308122353/http://journals.sagepub.com/doi/10.1016/j.euras.2015.03.008', 'source_medium': 'Web text'}]}, {'question': ""What's meant by illigitimate sanctions?"", 'answers': [{'answer': 'Max Weber\nfamously defined political legitimacy as the de facto ability of a political regime to\nsecure acceptance based on belief (‘Legitimita¨tsglaube’) as opposed to securing compliance based on coercion alone.6 In ‘Reply to Habermas’ Rawls dismisses the sociological\nor descriptive concept of political legitimacy associated with Weber as insufficient.7 Not\nbecause he thinks that Weber is wrong to focus on de facto acceptance of political\nauthority, but because Rawls thinks that any sufficient definition of legitimacy would\nLangvatn 133\nDownloaded from psc.sagepub.com by guest on January 18, 2016\nhave to acknowledge that there must be a benchmark of appropriate acceptance, or a\nbenchmark for when our belief that something is legitimate is appropriate. A full examination of political legitimacy must also ask whether\nthe agent who made the decision is authorized to make the decision, and whether the\ndecision has been made in accordance with established and recognized procedures that\nare themselves appropriately authorized and sufficiently just.', 'answer_type': 'Extractive', 'source_url': 'https://www.jus.uio.no/pluricourts/english/publications/2016/langvaten-rawls-political-legitimacy.pdf', 'source_medium': 'PDF'}, {'answer': 'Imposed without U.N. approval and contrary to WTO rules, international economic sanctions are no longer the exception, but a “new norm,” as Fyodor Lukyanov, editor-in-chief of this journal, argues. Sanctions against Russia were extended in 2015. And almost everyone even in Russia has forgotten that the sanctions are illegitimate, as if everyone has agreed that this is inevitable. Following this bad example Russia has introduced sanctions against Turkey. Retaliation, perhaps even much more severe, had to follow. But sanctions are in the gray area. And as a rule, they are ineffective or even counterproductive.', 'answer_type': 'Extractive', 'source_url': 'https://eng.globalaffairs.ru/articles/how-the-world-looks-from-the-russian-perspective/', 'source_medium': 'Web text'}]}]",
Nigeria is top in Africa for suicide.,FALSE,Refuted,Nigeria has the seventh highest suicide rate not the first.,18/6/19,,https://web.archive.org/web/20210731090047/https://www.vanguardngr.com/2019/06/suicide-nigerian-doctors-acquire-skills-to-tackle-post-traumatic-stress-disorder/,https://web.archive.org/web/20210302044005/https://africacheck.org/fact-checks/reports/nigeria-ranked-15th-world-suicide-lesotho-tops-african-list,Vanguard,NG,"['Numerical Claim', 'Event/Property Claim']",['Numerical Comparison'],"[{'question': ""What is Nigeria'S rank in suicide rate"", 'answers': [{'answer': 'Nigeria had an age-standardised suicide rate of 17.3 per 100,000 people in 2016, which placed it seventh on the continent.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210302044005/http://apps.who.int/gho/data/view.main.MHSUICIDEASDRv?lang=en', 'source_medium': 'Web text'}]}]",
Alexandria Ocasio-Cortez claimed Amazon was paying full-time employees so little that they required government food assistance.,TRUE,Conflicting Evidence/Cherrypicking,"The QA pairs confirm that some but not all amazon workers were in receipt of food stamps with factors such as State, extra benefits, hours worked and age of children playing factors in who received them.",16/6/19,Alexandria Ocasio-Cortez,https://abcnews.go.com/Politics/week-transcript-16-19-president-donald-trump-rep/story?id=63738621,https://web.archive.org/web/20201226185749/https://www.politifact.com/factchecks/2019/jun/21/alexandria-ocasio-cortez/fact-checking-alexandria-ocasio-cortez-amazon-star/,Interview,US,"['Causal Claim', 'Numerical Claim', 'Quote Verification', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison', 'Consultation']","[{'question': 'How much did Amazon pay their workers in 2019?', 'answers': [{'answer': ""In November 2018, Amazon raised it's minimum wage to $15 an hour, or $35,096 for a full time employee."", 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201218072041/https://www.nytimes.com/2018/10/02/business/amazon-minimum-wage.html', 'source_medium': 'Web text'}]}, {'question': 'What were Amazon wages prior to this date?', 'answers': [{'answer': ""Prior to 2018, half of Amazon's workers made less than $35,096 as the $15 an hour minimum wage wasn't yet in effect."", 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201218072041/https://www.nytimes.com/2018/10/02/business/amazon-minimum-wage.html', 'source_medium': 'Web text'}]}, {'question': 'What is the federal poverty level in 2019?', 'answers': [{'answer': 'The federal poverty level in 2019 is $25,750.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210206080138/https://www.federalregister.gov/documents/2019/02/01/2019-00621/annual-update-of-the-hhs-poverty-guidelines', 'source_medium': 'Web text'}]}, {'question': 'How many Amazon workers rely on government food assistance?', 'answers': [{'answer': 'Depending on the state, as many as 1 in 3 Amazon workers get food stamps in Arizona, and 1 in 10 in both Ohio and Pennsylvania.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201117033159/https://thecounter.org/amazon-snap-employees-five-states/', 'source_medium': 'Web text'}]}, {'question': 'Is a full time worker for Amazon earning above the poverty line?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20201117033159/https://thecounter.org/amazon-snap-employees-five-states/', 'source_medium': 'Web text', 'boolean_explanation': 'With the wage increase from amazon,full time employees earn above the poverty line.'}]}, {'question': 'With the wage increase will Amazon employees need to rely on government food assistance?', 'answers': [{'answer': 'This depends on the state, extra benefits, hours worked and age of children.  Some may still be eligible for food stamps.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20201117033159/https://thecounter.org/amazon-snap-employees-five-states/', 'source_medium': 'Web text'}]}, {'question': 'At the time of the claim (June 2019) was their data to say amazon workers were using food assistance programs?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20201117033159/https://thecounter.org/amazon-snap-employees-five-states/', 'source_medium': 'Web text', 'boolean_explanation': 'but only before the 2019 wage rise, was it a top employer of SNAP recipients in at least five states'}]}]",
Kenya's economic growth is well above the sub-Saharan Africa region average growth of 3% and the global average of 3.6%.,FALSE,Supported,It seems from the Q&As that the Kenyas growth is above the global average. Its not as clear about the sub-saharan region but it must be above 3%. So the claim is supported. ,13/6/19,Henry Rotich,https://www.treasury.go.ke/wp-content/uploads/2020/11/BUDGET-STATEMENT-FOR-FY-2019_20_Final.pdf,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,Budget Statement,KE,['Numerical Claim'],['Numerical Comparison'],"[{'question': ""How did Kenya's economic growth in 2018 compare to other members of the East African Community?"", 'answers': [{'answer': 'It was behind Tanzania (6.6%) and Rwanda (8.6%), but ahead of Uganda (6.2%) and Burundi (0.1%). -', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210719183014/https://www.eac.int/', 'source_medium': 'Web table'}]}, {'question': ""What did the IMF estimate Kenya's economic growth for 2018?"", 'answers': [{'answer': 'The IMF estimated Kenya’s economic growth for 2018 at 6.0%', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210719183014/https://africacheck.org//wp-content/uploads/2019/06/statapp.pdf#page=32', 'source_medium': 'Web table'}]}]",
25% of drug users in Nigeria are women,FALSE,Supported,"The math on the question seems to be a bit confusing, everything 4th person is a woman, which would then imply that indeed 25% are women users. In that case the claim is supported",13/6/19,"Dr Lolu Ojo, chair of the Nigerian Academy of Pharmacy’s committee on drug and substance abuse.",https://guardian.ng/features/how-to-eradicate-drug-substance-abuse-in-nigeria-by-ojo/,https://web.archive.org/web/20210720230948/https://africacheck.org/fact-checks/reports/how-many-nigerians-use-drugs,The Guardian,NG,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'How many Nigerian drug users are women?', 'answers': [{'answer': 'Among every 4 drug users in Nigeria, 1 is a woman.', 'answer_type': 'Extractive', 'source_url': 'https://www.unodc.org/documents/nigeria/Drug_Use_Survey_Nigeria_2019_BOOK.pdf', 'source_medium': 'PDF'}]}, {'question': 'How many Nigerians use drugs?', 'answers': [{'answer': 'The 2019  prevalence of any drug use is\nestimated at 14.4 per cent, corresponding to 14.3 million people', 'answer_type': 'Extractive', 'source_url': 'https://www.unodc.org/documents/nigeria/Drug_Use_Survey_Nigeria_2019_BOOK.pdf', 'source_medium': 'PDF'}]}]",
"""Kenya has been ranked 85th globally in e-commerce uptake.”",FALSE,Refuted,Kenya ranks at 89th of 151 countries in the 2018 UNCTAD B2C E-commerce Index - not 85th. ,13/6/19,Henry Rotich,https://www.treasury.go.ke/wp-content/uploads/2020/11/BUDGET-STATEMENT-FOR-FY-2019_20_Final.pdf,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,Budget Statement,KE,['Numerical Claim'],"['Numerical Comparison', 'Fact-checker Reference']","[{'question': 'What data set does the figure that Kenya has been ranked 85th globally in e-commerce uptake come from?', 'answers': [{'answer': 'The figure comes from the 2018 UN Conference on Trade and Development (UNCTAD) Business -to-consumer E-commerce index. The 2018 UNCTAD B2C E-commerce Index, measures an economy’s preparedness to \nsupport online shopping.', 'answer_type': 'Abstractive', 'source_url': 'https://unctad.org/system/files/official-document/tn_unctad_ict4d12_en.pdf', 'source_medium': 'PDF'}]}, {'question': 'Does the data in the 2018 UNCTAD B2C E-commerce Index include the whole world?', 'answers': [{'answer': 'No', 'answer_type': 'Boolean', 'source_url': 'https://unctad.org/system/files/official-document/tn_unctad_ict4d12_en.pdf', 'source_medium': 'PDF', 'boolean_explanation': 'The 2018 UNCTAD B2C E-commerce Index has expanded its coverage to include 151 economies, up seven \nfrom the 2017 edition.'}]}, {'question': 'Where is Kenya in the 2018 UNCTAD B2C E-commerce Index?', 'answers': [{'answer': 'Kenya is ranked 89th of 151 countries.', 'answer_type': 'Abstractive', 'source_url': 'https://unctad.org/system/files/official-document/tn_unctad_ict4d12_en.pdf', 'source_medium': 'PDF'}]}]",
25% of drug users in Nigeria are women,FALSE,Supported,The second answer states that 1 in 4 users are women so the claim is supported. The source is a trustworthy source.,13/6/19,Dr Lolu Ojo,https://web.archive.org/web/20210624043257/https://guardian.ng/features/how-to-eradicate-drug-substance-abuse-in-nigeria-by-ojo/,https://web.archive.org/web/20210720230948/https://africacheck.org/fact-checks/reports/how-many-nigerians-use-drugs,The Guardian,NG,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'Are about 14.4 million Nigerians are currently on drugs ?.', 'answers': [{'answer': 'A UN report based on the country’s first comprehensive survey of drug use found an estimated 14.3 million Nigerians – not 14.4 million – aged 15 to 64 used drugs in 2017. This claim is mostly correct .', 'answer_type': 'Extractive', 'source_url': 'https://www.unodc.org/documents/data-and-analysis/statistics/Drugs/Drug_Use_Survey_Nigeria_2019_Exsum.pdf', 'source_medium': 'PDF'}]}, {'question': 'Are 25% of drug users in Nigeria are women ?', 'answers': [{'answer': 'The report estimated that one in four drug users in Nigeria was a woman. This worked out to 3.4 million women aged 15 to 64 in 2017.\n\nWomen reported having less control than men over how and from whom they acquired mostly illicit drugs. They were also far more likely to be supplied drugs by a male partner.', 'answer_type': 'Extractive', 'source_url': 'https://soundcloud.com/africacheck/are-25-of-drug-users-in-nigeria-women-radio-one-1035-fm-lagos', 'source_medium': 'Audio'}]}]",
This [6.3%] growth is the highest to have been recorded for the past 8 years says Kenya’s finance minister Henry Rotich,FALSE,Supported,The answer and source shows that the economy did not go above 5.9% so the claim is supported.,13/6/19,Henry Rotich,https://repository.kippra.or.ke/handle/123456789/398,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,,KE,"['Numerical Claim', 'Event/Property Claim']",['Numerical Comparison'],"[{'question': 'In 2007 how much did the economy grow?', 'answers': [{'answer': '7.1%', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20211029183015/https://www.knbs.or.ke/publications/', 'source_medium': 'Web table'}]}, {'question': 'What was it 8-10 years later in 2018?', 'answers': [{'answer': '6.3%', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210719183015/https://www.knbs.or.ke/publications/', 'source_medium': 'Web table'}]}, {'question': 'what was the highest percentage it reached in between these years?', 'answers': [{'answer': '5.9%', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210719183015/https://www.knbs.or.ke/publications/', 'source_medium': 'Web table'}]}]",
The public sector wage bill in Kenya continues to rise.,FALSE,Supported,The answers and sources show that the bill has been increasing so the claim is supported.,13/6/19,Henry Rotich,https://www.treasury.go.ke/wp-content/uploads/2020/11/BUDGET-STATEMENT-FOR-FY-2019_20_Final.pdf,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,Budget Statement,KE,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'How much was the wage bill in 2013', 'answers': [{'answer': 'KSh 521.6 billion', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20220705011011/https://africacheck.org/sites/default/files/SRC_data.png', 'source_medium': 'Web table'}]}, {'question': 'What was the wage bill in Kenya for 2017/2018 year', 'answers': [{'answer': 'KSh 698.5 billion', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20220705011011/https://africacheck.org/sites/default/files/SRC_data.png', 'source_medium': 'Web table'}]}, {'question': 'Has there been an increase in the wage bill over the years', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20220705011011/https://africacheck.org/sites/default/files/SRC_data.png', 'source_medium': 'Web table', 'boolean_explanation': 'The table in the source shows the increase per year'}]}]",
”Kenya has been ranked 85th globally in e-commerce uptake.”,FALSE,Refuted,"From the evidence, Kenya was in fact 89th in the 2018 (Unctad) Business-to-Consumer E-commerce Index. Hence, the claim is refuted.",13/6/19,Henry Rotich,https://repository.kippra.or.ke/handle/123456789/398,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,,US,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'What does e-commerce uptake in Kenya mean in relation to the claim?', 'answers': [{'answer': ""Kenya's GLOBAL placing in the (Unctad) Business-to-Consumer E-commerce Index."", 'answer_type': 'Abstractive', 'source_url': 'Metadata', 'source_medium': 'Metadata'}]}, {'question': 'What date does the claim refer to the Index?', 'answers': [{'answer': 'The claim says that the ranking was in 2018', 'answer_type': 'Abstractive', 'source_url': 'Metadata', 'source_medium': 'Metadata'}]}, {'question': 'What place  GLOBALY does Kenya show in the 2018 (Unctad) Business-to-Consumer E-commerce Index?', 'answers': [{'answer': 'Kenya is ranked 89th GLOBALY', 'answer_type': 'Extractive', 'source_url': 'https://unctad.org/system/files/official-document/tn_unctad_ict4d12_en.pdf', 'source_medium': 'PDF'}]}]",
“This growth is well above the sub-Saharan Africa region average growth of 3% and the global average of 3.6%.”,FALSE,Supported,"Kenya's growth as a percentage in 2018 was higher at 6.0% than the sub-Saharan Africa region's average growth of 3% and the global average of 3.6%. Hence, the claim is supported.",13/6/19,Henry Rotich,https://repository.kippra.or.ke/handle/123456789/398,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,,KE,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'What was the sub-Saharan Africa regions GDP growth as a percentage in 2018?', 'answers': [{'answer': 'The International Monetary Fund has annual data on economic growth in 194 countries. Its latest World Economic Outlook, released in April 2019, estimates sub-Saharan Africa’s 2018 GDP growth at 3%.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210728230823/https://www.imf.org/en/Publications/WEO/Issues/2019/03/28/world-economic-outlook-april-2019', 'source_medium': 'Web text'}]}, {'question': ""What was Kenya's GDP growth as a percentage in 2018?"", 'answers': [{'answer': '6.0%', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20220128223330/https://africacheck.org/wp-content/uploads/2019/06/statapp.pdf#page=32', 'source_medium': 'Web text'}]}, {'question': 'What was the global economy growth in 2018 as a percent?', 'answers': [{'answer': '3.6%', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210719183014/https://africacheck.org//wp-content/uploads/2019/06/statapp.pdf#page=32', 'source_medium': 'Web text'}]}]",
Kenya’s excise revenue has declined from approximately 3% of GDP in 2003/04 to about 2% in 2017/18.,FALSE,Supported,The answers and sources show that the amounts are correct and so the claim is supported.,13/6/19,Henry Rotich,https://repository.kippra.or.ke/handle/123456789/398,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']","[{'question': 'What is excise revenue?', 'answers': [{'answer': 'Excise duties and levies are imposed mostly on high-volume daily consumable products (e.g. petroleum and alcohol and tobacco products) as well as certain non-essential or luxury items (e.g. electronic equipment and cosmetics).   The primary function of these duties and levies is to ensure a constant stream of revenue for the State, with a secondary function of discouraging consumption of certain harmful products; i.e. harmful to human health or to the environment.', 'answer_type': 'Extractive', 'source_url': 'https://www.sars.gov.za/customs-and-excise/excise/', 'source_medium': 'Web text'}]}, {'question': 'What was Kenya’s excise revenue as a percentage share of GDP in 2003/04?', 'answers': [{'answer': '3.7% (provisional figure)', 'answer_type': 'Extractive', 'source_url': 'https://openknowledge.worldbank.org/bitstream/handle/10986/8511/294210KE.pdf?sequence=1&isAllowed=y', 'source_medium': 'PDF'}]}, {'question': 'What was Kenya’s excise revenue as a percentage share of GDP in 2017/18?', 'answers': [{'answer': '1.84%\n(Table 7, page 22 in Quarterly Economic and Budgetary Review Fourth Quarter, Financial Year 2017/2018 Period ending 30th June, 2018)', 'answer_type': 'Extractive', 'source_url': 'https://www.treasury.go.ke/wp-content/uploads/2021/03/Quarterly-Economic-and-Budgetary-Review-4th-quarter-FY-2017-2018.pdf#page17', 'source_medium': 'PDF'}]}]",
Republicans voted against military pay rises,TRUE,Supported,"The claim only says 'republicans' voted against the bill in the claim, and Q&A 1 does show that most did vote against it only 2 did not so a valid claim to make overall.",13/6/19,Steny H. Hoyer,https://www.majorityleader.gov/content/hoyer-statement-house-republicans-politicizing-fiscal-year-2020-ndaa,https://web.archive.org/web/20201126120720/https://www.washingtonpost.com/politics/2019/06/18/steny-hoyers-claim-that-republicans-voted-against-military-pay-raises/,https://www.majorityleader.gov/content/hoyer-statement-house-republicans-politicizing-fiscal-year-2020-ndaa,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']","[{'question': 'How many republicans voted in favour of a military pay rise?', 'answers': [{'answer': 'When the Armed Services Committee passed the bill by a 33-to-24 vote on June 13, only two Republicans, Reps. Don Bacon (Neb.) and Elise Stefanik (N.Y.), voted in favour.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20201124042154/https://republicans-armedservices.house.gov/news/press-releases/thornberry-fy20-ndaa', 'source_medium': 'Web text'}]}, {'question': 'Did the other republicans not believe in a military pay rise?', 'answers': [{'answer': 'GOP members (republicans) said the sprawling defense bill was a package deal and that the package, as a whole, wasn’t good enough.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20201126120720/https://republicans-armedservices.house.gov/news/press-releases/thornberry-fy20-ndaa-0', 'source_medium': 'Web text'}]}, {'question': 'What did Rep. Mac Thornberry say about the pay rise', 'answers': [{'answer': 'The Chairman’s Mark supports a 3.1% military pay raise, essential end strength increases, an increase in compensation for military spouses to acquire professional licenses, and significant bipartisan housing reform to protect military families. The Mark continues reforms focused on sexual assault prevention and response. The Chairman’s Mark also prohibits the reduction of military health care personnel.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201124042154/https://republicans-armedservices.house.gov/news/press-releases/thornberry-fy20-ndaa', 'source_medium': 'Web text'}]}, {'question': 'Did majority of Republicans support the bill', 'answers': [{'answer': '“This morning, the House Armed Services Committee marked up a defense authorization bill for 2020 that will keep America safe and defend our allies and interests abroad. It is shameful that all but two Republicans on the Committee chose to make this vote partisan.  In doing so, they voted to deny our troops a pay raise, reject critical defense initiatives, and ignore the requests of our military.  They did this all because the Committee would not agree to add billions more in unnecessary funding that would have required severe and draconian cuts to our investments in education and skills training, health care access, and infrastructure development.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201117073304/https://www.majorityleader.gov/content/hoyer-statement-house-republicans-politicizing-fiscal-year-2020-ndaa', 'source_medium': 'Web text'}]}]",
“This growth is well above the sub-Saharan Africa region average growth of 3% and the global average of 3.6%.” Kenya,TRUE,Supported,"Evidence finds that Kenya's economic growth for 2018 was 6%, so this is well above the average growth rate of 3% for sub-Saharan Africa and also well above the global average of 3.6%.",13/6/19,Henry Rotich,https://www.treasury.go.ke/wp-content/uploads/2020/11/BUDGET-STATEMENT-FOR-FY-2019_20_Final.pdf,https://web.archive.org/web/20210719183014/https://africacheck.org/fact-checks/reports/kenyas-2019-budget-speech-do-finance-ministers-numbers-add,Budget Statement,KE,['Numerical Claim'],['Numerical Comparison'],"[{'question': 'What was Kenyas Annual growth in comparison to the  rest of the worlds economy?', 'answers': [{'answer': 'The world’s economy grew an estimated 3.6% that year. (Note: The IMF estimated Kenya’s economic growth for 2018 at 6.0%.)\n\nOnly 21 countries achieved a growth rate of at least 6.3%.\nOnly 21 countries achieved a growth rate of at least 6.3%.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210720071907/https://www.imf.org/en/home', 'source_medium': 'PDF'}]}, {'question': ""Was Kenya's growth WELL ABOVE the sub-Saharan Africa region average growth of 3% and the global average of 3.6%?"", 'answers': [{'answer': ""The IMF estimated Kenya's economic growth for 2018 at 6% , so this is well above the average growth of 3% for sub-Saharan Africa and also well above the global average of 3.6%."", 'answer_type': 'Extractive', 'source_url': 'https://www.factcheck.org/2020/04/reports-didnt-misrepresent-one-mans-death-as-two/?fbclid=IwAR0UXbWT8JoBUTwV-shzoif7CjLq-ichRlryNjlsfSsnF3J_lnGqBpaVQWw', 'source_medium': 'Web text'}]}]",
